sensor_type,goal_id,goal_x,goal_y,time_to_goal,path_length,replan_count,success
radar,0,6.367633819580078,1.5474462509155273,94.783,5.904,2,False
radar,1,1.158562421798706,2.318802833557129,84.811,5.111,4,True
radar,2,-3.5313382148742676,0.8191921710968018,95.394,5.542,5,False
radar,3,-0.028192520141601562,2.997647285461426,67.293,3.577,4,True
