sensor_type,goal_id,goal_x,goal_y,time_to_goal,path_length,replan_count,success
radar,0,6.367633819580078,1.5474462509155273,91.785,6.601,11,True
radar,1,1.158562421798706,2.318802833557129,78.526,5.714,6,True
radar,2,-3.5313382148742676,0.8191921710968018,98.741,6.518,6,False
radar,3,-0.028192520141601562,2.997647285461426,73.896,4.614,3,True
